lpa_curie,lpa_name,doc_reference,doc_name,doc_types,file_kind,final_url,landing_url,status,content_type,entry_date,local_plan
,,cannock-chase-district-council-local-plan-2006-4,Adoption Statement,adoption-statement,doc,https://www.cannockchasedc.gov.uk/sites/default/files/site-old/local_plan_p1_adoption_statement_09.04.14.doc,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,200,application/msword,,cannock-chase-district-council-local-plan-2006
,,cannock-chase-district-local-plan-pre-submission-regulation-19,Cannock Chase District Local Plan Pre-Submission (Regulation 19),local-plan,pdf,https://www.cannockchasedc.gov.uk/sites/default/files/document-library/Cannock%20Chase%20Local%20Plan%20Pre%20Submission%20Reg%2019.pdf,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,200,application/pdf,,cannock-chase-district-local-plan
,,canterbury-district-local-plan,Canterbury District Local Plan,local-plan,pdf,https://www.canterbury.gov.uk/sites/default/files/2022-10/Adopted%20Local%20Plan.pdf,https://www.canterbury.gov.uk/planning-and-building/planning-policies/adopted-local-plan,200,application/pdf,,canterbury-district-local-plan
,,castle-point-borough-council-local-plan-1998-1,Saved policies,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1267.pdf&ver=1498,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-10,Recreation Policies,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1262.pdf&ver=1493,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-11,Community Facilities,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1257.pdf&ver=1488,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-12,Appendices,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1256.pdf&ver=1487,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-14,Proposals Map and Key,policies-map,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1269.pdf&ver=1500,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-15,Proposals Map Town Centre Inserts,policies-map,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1268.pdf&ver=1499,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-3,Introduction to the Plan,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1261.pdf&ver=1492,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-4,Green Belt Policies,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1264.pdf&ver=1495,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-5,Environment and Conservation Policies,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1259.pdf&ver=1490,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-6,Housing and Population Policies,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1260.pdf&ver=1491,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-7,Economic Development Policies,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1258.pdf&ver=1489,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-8,Shopping Policies,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1265.pdf&ver=1496,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,castle-point-borough-council-local-plan-1998-9,Transport Policies,local-plan,pdf,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n1266.pdf&ver=1497,https://www.castlepoint.gov.uk/adopted-local-plan/,200,application/pdf,,castle-point-borough-council-local-plan-1998
,,central-bedfordshire-council-local-development-scheme,Central Bedfordshire Council Local Development Scheme,local-development-scheme,landing,,https://www.centralbedfordshire.gov.uk/info/45/planning_policy/1168/local_development_scheme_lds,0,,,central-bedfordshire-local-plan-2035
,,central-bedfordshire-local-plan-2015-2035,Central Bedfordshire Local Plan: 2015-2035,local-plan,landing,,https://www.centralbedfordshire.gov.uk/info/153/central_bedfordshire_local_plan_2015_to_2035/1034/adopted_local_plan,0,,,central-bedfordshire-council-local-plan-2015
,,core-strategy-and-development-plan-2015-2033,Core Strategy and Development Plan 2015 - 2033,core-strategy,pdf,https://www.sunderland.gov.uk/media/22171/Core-Strategy-and-Development-Plan-2015-2033/pdf/CSDP_2015-2033.pdf?m=1580375786447,https://www.sunderland.gov.uk/CSDP,403,text/html,,sunderland-city-council-local-plan-2024
,,dacorum-core-strategy-adoption-statement,Dacorum Core Strategy Adoption Statement,adoption-statement,pdf,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/adoption-notice-(pdf).pdf?sfvrsn=74e4f39f_0,,200,application/pdf,,core-strategy-2006-2031
,,dartford-borough-council-local-plan-2024-1,The Dartford Plan to 2037,local-plan,html,,https://www.dartford.gov.uk/policy-1/dartford-plan-2024/1,404,text/html,,dartford-borough-council-local-plan-2024
,,dartford-borough-council-local-plan-2024-2,Adoption Statement,adoption-statement,pdf,https://www.dartford.gov.uk/downloads/file/2274/adoption-statement,https://www.dartford.gov.uk/policy-1/dartford-plan-2024/1,200,application/pdf,,dartford-borough-council-local-plan-2024
,,dartmoor-local-plan-2018-2036,Dartmoor Local Plan 2018 - 2036,local-plan,pdf,https://www.dartmoor.gov.uk/__data/assets/pdf_file/0015/410127/LP_Adopted.pdf,,200,application/pdf,,local-plan-review-2018-2036
,,dartmoor-local-plan-2018-2036-adoption-statement,Dartmoor Local Plan 2018 - 2036 Adoption Statement,adoption-statement,pdf,https://www.dartmoor.gov.uk/__data/assets/pdf_file/0025/408247/2021-12-02_LOCAL_PLAN_Notice_of_Adoption.pdf,,200,application/pdf,,local-plan-review-2018-2036
,,derby-city-local-plan-part-1-core-strategy,Derby City Local Plan - Part 1 Core Strategy,core-strategy,pdf,https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/planning/localplan/evidencebase/Core-Strategy_ADOPTED_DEC-2016_V3_WEB.pdf,,200,application/pdf,,derby-city-local-plan-part-1-core-strategy
,,derbyshire-dales-local-plan-adoption-statement,Derbyshire Dales Local Plan Adoption Statement,adoption-statement,html,https://www.derbyshiredales.gov.uk/documents/adoption-statement-final-dec-2017-2/download,,403,text/html,,derbyshire-dales-local-plan
,,development-management-dpd,Development Management DPD,local-plan,pdf,https://www.ealing.gov.uk/download/downloads/id/19450/development_management_dpd.pdf,https://www.ealing.gov.uk/info/201162/planning_policy/3124/development_plan,200,application/pdf,,development-strategy-2026
,,development-or-core-strategy-dpd,Development (or Core Strategy) DPD,core-strategy;local-plan,pdf,https://www.ealing.gov.uk/download/downloads/id/19446/development_strategy_2026_-_development_plan_document.pdf,https://www.ealing.gov.uk/info/201162/planning_policy/3124/development_plan,200,application/pdf,,development-strategy-2026
,,development-sites-dpd,Development Sites DPD,local-plan;site-allocations,pdf,https://www.ealing.gov.uk/download/downloads/id/19449/development_sites.pdf,https://www.ealing.gov.uk/info/201162/planning_policy/3124/development_plan,200,application/pdf,,development-strategy-2026
,,doncaster-metropolitan-borough-council-local-plan-2015-10,Doncaster Local Plan Adoption Statement,adoption-statement,pdf,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Submission/Adoption%20Statement.pdf,https://www.doncaster.gov.uk/services/planning/local-plan,200,application/pdf,,doncaster-metropolitan-borough-council-local-plan-2015
,,ealing-s-local-plan,Ealing's Local Plan,local-plan,pdf,https://ealing.moderngov.co.uk/documents/g6325/Public%20reports%20pack%20Wednesday%2028-Feb-2024%20Ealings%20Draft%20Local%20Plan%20Regulation%2019%20Consultation%20D.pdf?T=10,https://www.ealing.gov.uk/info/201164/local_plan/3125/new_local_plan,200,application/pdf,,london-borough-of-ealing-local-plan-2011
,,east-cambridgeshire-district-council-local-plan-2013-13,"Adoption Statement: Local Plan 2015 (PDF, 0.)",adoption-statement,pdf,https://eastcambs.gov.uk:443/sites/default/files/Adoption%20statement%20-%20final.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,404,text/html,,east-cambridgeshire-district-council-local-plan-2013
,,east-cambridgeshire-district-council-local-plan-2013-15,"Inspector's Report on the examination into the East Cambridgeshire Local Plan 2015 (PDF, 0.)",inspectors-report,pdf,https://eastcambs.gov.uk:443/sites/default/files/Inspector%27s%20Report_0.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,404,text/html,,east-cambridgeshire-district-council-local-plan-2013
,,east-cambridgeshire-district-council-local-plan-2013-19,"Sustainability Appraisal of the Local Plan 2015 (PDF, 4.)",sustainability-appraisal,pdf,https://eastcambs.gov.uk:443/sites/default/files/SA%20report%20of%20the%20April%202015%20Adopted%20LP%20-%20FINAL.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,404,text/html,,east-cambridgeshire-district-council-local-plan-2013
,,east-cambridgeshire-district-council-local-plan-2013-20,"Adoption Statement of the Sustainability Appraisal 2015 (PDF, 0.)",adoption-statement;sustainability-appraisal,pdf,https://eastcambs.gov.uk:443/sites/default/files/SA%20Adoption%20Statement%20-%20Apr%202015%20-%20Final.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,404,text/html,,east-cambridgeshire-district-council-local-plan-2013
,,east-cambridgeshire-local-plan-2015-policies-map,East Cambridgeshire Local Plan 2015 Policies Map,policies-map,pdf,https://eastcambs.gov.uk:443/sites/default/files/District%20Proposal%20Map_50k_Colour%20%28resized%29.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-policies-map,404,text/html,,east-cambridgeshire-local-plan-single-issue-review
,,east-devon-district-council-local-plan-2013-1,The Local Plan 2013-2031,local-plan,pdf,https://eastdevon.gov.uk/media/1772841/Local-Plan-Final-Adopted-Plan-2016.pdf,https://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031/,200,application/pdf,,east-devon-district-council-local-plan-2013
,,east-devon-district-council-local-plan-2013-21,Local Plan Adoption Statement,adoption-statement,pdf,https://eastdevon.gov.uk/media/1515195/East-Devon-Local-Plan-Adoption-Notice-Jan-2016.pdf,https://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031/,200,application/pdf,,east-devon-district-council-local-plan-2013
,,east-devon-district-council-local-plan-2013-7,Updated Sustainability Appraisal Report - August 2015,sustainability-appraisal,pdf,https://eastdevon.gov.uk/media/3724959/e-devon-lp-psd2015w-2-sareportincpropchangesaug2015.pdf,https://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031/,200,application/pdf,,east-devon-district-council-local-plan-2013
,,east-suffolk-council-local-plan-2019-1,East Suffolk Council Suffolk Coastal Local Plan,local-plan,pdf,https://www.eastsuffolk.gov.uk/assets/Planning/Planning-Policy-and-Local-Plans/Suffolk-Coastal-Local-Plan/Adopted-Suffolk-Coastal-Local-Plan/East-Suffolk-Council-Suffolk-Coastal-Local-Plan.pdf,https://www.eastsuffolk.gov.uk/planning/planning-policy-and-local-plans/local-plans/,200,application/pdf,,east-suffolk-council-local-plan-2019
,,east-suffolk-council-local-plan-2019-2,East Suffolk Council Waveney Local Plan,local-plan,pdf,https://www.eastsuffolk.gov.uk/assets/Planning/Waveney-Local-Plan/Adopted-Waveney-Local-Plan-including-Erratum.pdf,https://www.eastsuffolk.gov.uk/planning/planning-policy-and-local-plans/local-plans/,200,application/pdf,,east-suffolk-council-local-plan-2019
,,east-suffolk-council-local-plan-2019-3,"Adoption documents, inspector's reports and previous stages",adoption-statement,html,,https://www.eastsuffolk.gov.uk/planning/planning-policy-and-local-plans/local-plans/,200,text/html,,east-suffolk-council-local-plan-2019
,,epping-forest-district-local-plan-2011-2033-part-one-pdf,Epping Forest District Local Plan 2011-2033 Part One (pdf ),local-plan,pdf,https://www.eppingforestdc.gov.uk/app/uploads/2023/03/EFD-Local-Plan-2011-2033-Part-One.pdf,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,200,application/pdf,,epping-forest-district-local-plan
,,epping-forest-district-local-plan-2011-2033-part-two-site-specific-policy-requirements-and-designations-pdf,Epping Forest District Local Plan 2011-2033 Part Two (Site Specific Policy Requirements and Designations) (pdf ),local-plan,pdf,https://www.eppingforestdc.gov.uk/app/uploads/2023/03/EFD-Local-Plan-2011-2033-Part-Two.pdf,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,200,application/pdf,,epping-forest-district-local-plan
,,epping-forest-district-local-plan-2011-2033-policies-map-pdf,Epping Forest District Local Plan 2011-2033 Policies Map (pdf ),policies-map;site-allocations,pdf,https://www.eppingforestdc.gov.uk/app/uploads/2023/03/Policies-Map-200323.pdf,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,200,application/pdf,,epping-forest-district-local-plan
,,epping-forest-district-local-plan-2011-2033-sustainability-appraisal-adoption-statement-pdf,Epping Forest District Local Plan 2011-2033 Sustainability Appraisal Adoption Statement (pdf ),sustainability-appraisal,pdf,https://www.eppingforestdc.gov.uk/app/uploads/2023/03/EFD-Local-Plan-2011-2033-SA-Adoption-Statement-140323.pdf,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,200,application/pdf,,epping-forest-district-local-plan
,,epping-forest-district-local-plan-adoption-statement-pdf,Epping Forest District Local Plan Adoption Statement (pdf ),adoption-statement,pdf,https://www.eppingforestdc.gov.uk/app/uploads/2023/03/EFDLP-Adoption-Statement-140323.pdf,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,200,application/pdf,,epping-forest-district-local-plan
,,fareham-local-plan-2037-19-mb,Fareham Local Plan 2037(19 MB),local-plan,pdf,https://www.fareham.gov.uk/pdf/planning/local_plan/1.FLP2037.pdf,https://www.fareham.gov.uk/planning/localplan.aspx,200,application/pdf,,fareham-local-plan-2037
,,gateshead-metropolitan-borough-council-local-plan-2010-1,Core Strategy and Urban Core Plan,core-strategy,pdf,https://www.gateshead.gov.uk/media/7765/Core-Strategy-and-Urban-Core-Plan-for-Gateshead-and-Newcastle/pdf/Core-Strategy-and-Urban-Core-Plan-for-Gateshead-and-Newcastle_SMALLER.pdf?m=1526313509250,https://www.gateshead.gov.uk/article/3251/Core-Strategy-and-Urban-Core-Plan-for-Gateshead-and-Newcastle-2010-2030,403,text/html,,gateshead-metropolitan-borough-council-local-plan-2010
,,gateshead-metropolitan-borough-council-local-plan-2010-2,Adoption Statement,adoption-statement,pdf,https://www.gateshead.gov.uk/media/1904/Adoption-Statement/pdf/Adoption-Statement.pdf?m=1531310685127,https://www.gateshead.gov.uk/article/3251/Core-Strategy-and-Urban-Core-Plan-for-Gateshead-and-Newcastle-2010-2030,403,text/html,,gateshead-metropolitan-borough-council-local-plan-2010
,,greater-cambridge-local-development-scheme-updated-addendum-local-plan-timetable-update,Greater Cambridge Local Development Scheme Updated Addendum: Local Plan Timetable Update,local-development-scheme,pdf,https://www.greatercambridgeplanning.org/media/00chgjot/gc-local_development-scheme_addendum_5-11-24.pdf,https://www.greatercambridgeplanning.org/emerging-plans-and-guidance/greater-cambridge-local-plan-the-20-year-master-plan-for-the-greater-cambridge-area/,200,application/pdf,,greater-cambridge-local-plan-2021-2041
,,greater-cambridge-local-plan-first-proposals-consultation,Greater Cambridge Local Plan - First Proposals Consultation,local-plan,pdf,https://consultations.greatercambridgeplanning.org/sites/gcp/files/2021-10/First%20Proposals%20-%20FINAL%20FURTHER%20REVISED%2028.10.21-red.pdf,https://consultations.greatercambridgeplanning.org/greater-cambridge-local-plan-first-proposals,200,application/pdf,,greater-cambridge-local-plan-2021-2041
,,halton-borough-council-local-plan-2022-1,Delivery and Allocations Local Plan (2022),local-plan;site-allocations,pdf,https://www3.halton.gov.uk/Documents/planning/planning%20policy/newdalp/DALP%20Adopted.pdf,https://www3.halton.gov.uk/Pages/eip/eiphome.aspx,200,application/pdf,,halton-borough-council-local-plan-2022
,,halton-borough-council-local-plan-2022-2,Policies Map (2022),policies-map,pdf,https://www3.halton.gov.uk/Documents/planning/planning%20policy/newdalp/DALP%20Policies%20Map%20Adopted.pdf,https://www3.halton.gov.uk/Pages/eip/eiphome.aspx,200,application/pdf,,halton-borough-council-local-plan-2022
,,halton-borough-council-local-plan-2022-3,Adoption Statement,adoption-statement,pdf,https://www3.halton.gov.uk/Documents/planning/planning%20policy/newdalp/DALP%20Adoption%20Statement.pdf,https://www3.halton.gov.uk/Pages/eip/eiphome.aspx,200,application/pdf,,halton-borough-council-local-plan-2022
,,harlow-district-council-local-plan-2011-1,Local Plan documents,local-plan,html,,https://www.harlow.gov.uk/planning-and-building-control/planning-policy/local-plan,200,text/html,,harlow-district-council-local-plan-2011
,,harlow-district-council-local-plan-2011-2,Supplementary planning documents,supplementary-planning-documents,html,,https://www.harlow.gov.uk/planning-and-building-control/planning-policy/local-plan,200,text/html,,harlow-district-council-local-plan-2011
,,hart-district-council-local-plan-2014-1,Hart local plan (strategy and sites),local-plan,pdf,https://www.hart.gov.uk/sites/default/files/2024-08/Hart-Local-Plan-strategy-and-Sites-2032.pdf,https://www.hart.gov.uk/planning-and-building-control/planning-policy/plans-and-policies,200,application/pdf,,hart-district-council-local-plan-2014
,,hertsmere-borough-council-local-plan-2012-3,Core Strategy (PDF 1.70mb),core-strategy,pdf,https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Planning-Policy/Local-Development-Framework/Core-Strategy-DPD-2013.pdf,https://www.hertsmere.gov.uk/Planning--Building-Control/Planning-Policy/Local-Plan/Current-Local-Plan/Local-Plan-2012-27-Core-Strategy.aspx,200,application/pdf,,hertsmere-borough-council-local-plan-2012
,,hertsmere-borough-council-local-plan-2012-5,Hertsmere Core Strategy Notice of Adoption and Fact,adoption-statement,pdf,https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Planning-Policy/Local-Plan/Core-Strategy-Notice-of-Adoption-and-Fact.pdf,https://www.hertsmere.gov.uk/Planning--Building-Control/Planning-Policy/Local-Plan/Current-Local-Plan/Local-Plan-2012-27-Core-Strategy.aspx,200,application/pdf,,hertsmere-borough-council-local-plan-2012
,,high-peak-borough-council-local-plan-2011-2,The High Peak Local Plan Adopted April 2016,local-plan,pdf,https://www.highpeak.gov.uk/media/160/The-High-Peak-Local-Plan-Adopted-April-2016/pdf/The_High_Peak_Local_Plan_Adopted_April_2016.pdf?m=1514473710280,https://www.highpeak.gov.uk/article/646/The-Adopted-Local-Plan-2016,200,application/pdf,,high-peak-borough-council-local-plan-2011
,,high-peak-borough-council-local-plan-2011-3,Inspector's report,inspectors-report,pdf,https://www.highpeak.gov.uk/media/161/Inspectors-report/pdf/Inspectors_Report.pdf?m=1514474273050,https://www.highpeak.gov.uk/article/646/The-Adopted-Local-Plan-2016,200,application/pdf,,high-peak-borough-council-local-plan-2011
,,high-peak-borough-council-local-plan-2011-5,Adoption Statement,adoption-statement,pdf,https://www.highpeak.gov.uk/media/163/Adoption-Statement/pdf/Adoption_statement.pdf?m=1514473896560,https://www.highpeak.gov.uk/article/646/The-Adopted-Local-Plan-2016,200,application/pdf,,high-peak-borough-council-local-plan-2011
,,huntingdonshire-s-local-plan-to-2036,Huntingdonshire's Local Plan to 2036,local-plan,pdf,https://www.huntingdonshire.gov.uk/media/3872/190516-final-adopted-local-plan-to-2036.pdf,https://www.huntingdonshire.gov.uk/planning/local-plan-to-2036/,200,application/pdf,,huntingdonshire-s-local-plan-to-2036
,,inspector-s-report-on-the-lp-examination-including-the-main-mods,Inspector's Report on the LP examination including the Main Mods,inspectors-report,pdf,https://moderngov.fareham.gov.uk/documents/s34237/Appendix%201%20Inspectors%20Report%20on%20the%20LP%20examination%20including%20the%20Main%20Mods.pdf,https://www.fareham.gov.uk/planning/localplan.aspx,200,application/pdf,,fareham-local-plan-2037
,,inspectors-report,Inspectors Report,inspectors-report,pdf,https://www.barnsley.gov.uk/media/17924/inspectors-report-and-modifications-appendix.pdf,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/our-local-plan/barnsleys-local-plan/,200,application/pdf,,barnsley-metropolitan-borough-council-local-plan-2019
,,kirklees-local-plan-strategy-and-policies,Kirklees Local Plan Strategy and Policies,local-plan,pdf,https://www.kirklees.gov.uk/beta/planning-policy/pdf/local-plan-strategy-and-policies.pdf,https://www.kirklees.gov.uk/beta/planning-policy/local-plan.aspx,200,application/pdf,,kirklees-council-local-plan-2013
,,lincolnshire-county-council-local-plan-2023-10,Local Plans Timetable June 2024,local-development-scheme,pdf,https://www.n-kesteven.gov.uk/sites/default/files/2024-04/Central%20Lincolnshire%20Local%20Plans%20Timetable%20March%202024.pdf,https://www.n-kesteven.gov.uk/central-lincolnshire,200,application/pdf,,lincolnshire-county-council-local-plan-2023
,,lincolnshire-county-council-local-plan-2023-2,Adopted Central Lincolnshire Local Plan 2023,local-plan,pdf,https://www.n-kesteven.gov.uk/sites/default/files/2023-04/Local%20Plan%20for%20adoption%20Approved%20by%20Committee.pdf,https://www.n-kesteven.gov.uk/central-lincolnshire,200,application/pdf,,lincolnshire-county-council-local-plan-2023
,,lincolnshire-county-council-local-plan-2023-4,Local Plan Adoption Statement,adoption-statement,pdf,https://www.n-kesteven.gov.uk/sites/default/files/2023-04/Local%20Plan%20Adoption%20Statement.pdf,https://www.n-kesteven.gov.uk/central-lincolnshire,200,application/pdf,,lincolnshire-county-council-local-plan-2023
,,local-development-scheme-december-2022,Local development scheme - december 2022,local-development-scheme,pdf,https://lewisham.gov.uk/-/media/local-development-scheme-december-2022.pdf,https://lewisham.gov.uk/myservices/planning/policy/planning/current-and-future-consultations,404,text/html,,london-borough-of-lewisham-local-plan-2020
,,local-development-scheme-oct-2024,Local development scheme - Oct 2024,local-development-scheme,pdf,https://tunbridgewells.gov.uk/__data/assets/pdf_file/0008/483677/Local-Development-Scheme-October-2024.pdf,https://tunbridgewells.gov.uk/planning/planning-policy/local-development-scheme,403,text/html,,tunbridge-wells-borough-council-new-local-plan
,,local-plan-2037-adoption-statement-99-kb,Local Plan 2037 Adoption Statement(99 KB),adoption-statement,pdf,https://www.fareham.gov.uk/pdf/planning/local_plan/5.LocalPlanAdoptionStatement.pdf,https://www.fareham.gov.uk/planning/localplan.aspx,200,application/pdf,,fareham-local-plan-2037
,,local-plan-2037-policies-map-12-mb,Local Plan 2037 Policies Map(12 MB),policies-map,pdf,https://www.fareham.gov.uk/pdf/planning/local_plan/4.PoliciesMap.pdf,https://www.fareham.gov.uk/planning/localplan.aspx,200,application/pdf,,fareham-local-plan-2037
,,local-plan-issues-and-options-consultation-may-2019,Local Plan Issues and Options Consultation (May 2019),local-plan,pdf,https://www.cannockchasedc.gov.uk/sites/default/files/site-old/issues_and_options_final_0.pdf,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,200,application/pdf,,cannock-chase-district-local-plan
,,local-plan-reg-18-draft,Local plan - Reg 18 draft,local-plan,pdf,https://www.trafford.gov.uk/planning/strategic-planning/docs/Draft-Local-Plan-Feb-2021.pdf,https://www.trafford.gov.uk/planning/strategic-planning/local-plan/Trafford-Local-Plan-Consultations.aspx#Regulation18DraftLocalPlanConsultationFebruary2021,200,application/pdf,,trafford-local-plan
,,london-borough-of-barking-and-dagenham-local-plan-2020-2037,LONDON BOROUGH OF BARKING AND DAGENHAM LOCAL PLAN 2020-2037,local-plan,pdf,https://www.lbbd.gov.uk/sites/default/files/2024-10/B%26D_LocalPlan_A4_SEP24_digital.pdf,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,200,application/pdf,,the-barking-and-dagenham-local-plan-2037
,,london-borough-of-bromley-local-plan-2019-1,Bromley's Local Plan,local-plan,pdf,https://www.bromley.gov.uk/downloads/file/51/bromley-local-plan,https://www.bromley.gov.uk/Local_Plan,200,application/pdf,,london-borough-of-bromley-local-plan-2019
,,london-borough-of-haringey-local-plan-2013-1,Haringey Local Plan: Strategic Policies (pdf),local-plan,pdf,https://haringey.gov.uk//sites/default/files/2024-01/final_haringey_local_plan_2017_online.pdf,https://new.haringey.gov.uk/planning-building-control/planning/planning-policy/local-plan/local-plan-strategic-policies,206,application/pdf,,london-borough-of-haringey-local-plan-2013
,,london-borough-of-haringey-local-plan-2013-2,"Haringey Local Plan adoption statement (pdf,2 page(s),138.97 KB)",adoption-statement,pdf,https://haringey.gov.uk//sites/default/files/local_plan_adoption_statement_2.pdf,https://new.haringey.gov.uk/planning-building-control/planning/planning-policy/local-plan/local-plan-strategic-policies,200,application/pdf,,london-borough-of-haringey-local-plan-2013
,,london-borough-of-havering-local-plan-2016-1,Havering Local Plan 2016-2031 (adopted in 2021),local-plan,pdf,https://www.havering.gov.uk/downloads/file/5300/havering-local-plan-2016---2031,https://www.havering.gov.uk/planning-3/planning-policy/2,200,application/pdf,,london-borough-of-havering-local-plan-2016
,,london-borough-of-redbridge-local-plan-2015-1,Redbridge Local Plan 2015-2030,local-plan,pdf,https://www.redbridge.gov.uk/media/9993/10-redbridgelocal-plan_070318_web-1_tp.pdf,https://www.redbridge.gov.uk/planning-and-building/planning-policy/local-plan/,404,text/html,,london-borough-of-redbridge-local-plan-2015
,,london-borough-of-sutton-local-plan-2018-1,Sutton Local Plan (2018),local-plan,pdf,https://www.sutton.gov.uk/documents/20124/864129/1.+Sutton+Local+Plan+%28Adopted+2018%29.pdf/57903d66-57ad-bf28-857d-8c8e779fc3ce?t=1678268850847,https://www.sutton.gov.uk/w/the-local-plan,200,application/pdf,,london-borough-of-sutton-local-plan-2018
,,london-borough-of-sutton-local-plan-2018-8,Inspector's Report,inspectors-report,pdf,https://www.sutton.gov.uk/documents/20124/864129/Inspector%27s+Report+-+Sutton+Local+Plan.pdf/4207ba7d-c552-89f6-1065-bb94a78a5933?t=1661352092901,https://www.sutton.gov.uk/w/the-local-plan,200,application/pdf,,london-borough-of-sutton-local-plan-2018
,,maidstone-borough-council-local-plan-2021-1,Maidstone Borough Council Local Plan Review 2021-2038,local-plan,landing,,https://localplan.maidstone.gov.uk/home/local-plan-review,0,,,maidstone-borough-council-local-plan-2021
,,mansfield-district-council-local-plan-2013-1,Mansfield District Local Plan 2013-2033,local-plan,pdf,https://www.mansfield.gov.uk/downloads/file/1645/mdc-adopted-local-plan-2020,https://www.mansfield.gov.uk/local-plan/adopted-local-plan-2013-2033,200,application/pdf,,mansfield-district-council-local-plan-2013
