lpa_curie,lpa_name,doc_reference,doc_name,doc_types,file_kind,final_url,landing_url,status,content_type,entry_date,local_plan
,,darlington-borough-council-local-plan-2016-39,SD23 Retail and Town Centre study 2014,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-4,CD03 Darlington Borough Local Plan 2016-2036 (Regulation 19) Sustainability Appraisal,sustainability-appraisal,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-40,SD24 Darlington Town Centre strategy 2019-2030,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-41,SD25 Town Centre action plan 2012,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-42,SD26 Town Centre Fringe master plan 2013,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-43,SD27 The Bank Top station masterplan,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-44,SD28 Local Green Space designation report January 2020,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-45,SD29 Heritage Impact Assessment update 2020,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-46,SD30 Heritage Impact Assessment - Part 1,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-47,SD30 Heritage Impact Assessment - Part 2,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
