doc_reference,doc_name,url,error,lpa_curie,lpa_name,local_plan
staffordshire-moorlands-district-council-local-plan-2014-11,Sustainability Appraisal Submission Version February 2018,https://www.staffsmoorlands.gov.uk/media/6164/SA-Report-05.02.18/pdf/SA_Report_05.02.18.pdf?m=1601645143383,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
staffordshire-moorlands-district-council-local-plan-2014-12,Sustainability Appraisal of the Staffordshire Moorlands Local Plan Proposed Main Modifications,https://www.staffsmoorlands.gov.uk/media/6166/Sustainability-Appraisal-of-main-modifications/pdf/Sustainability_Appraisal_of_main_modifications.pdf?m=1601645143877,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
staffordshire-moorlands-district-council-local-plan-2014-2,Staffordshire Moorlands Local Plan,https://www.staffsmoorlands.gov.uk/media/6155/Adopted-Local-Plan/pdf/Adopted_Local_Plan.pdf?m=1601645140880,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
staffordshire-moorlands-district-council-local-plan-2014-3,Adoption statement,https://www.staffsmoorlands.gov.uk/media/6156/adoption-statement/pdf/adoption_statement.pdf?m=1601645141177,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
staffordshire-moorlands-district-council-local-plan-2014-4,Inspector's final report,https://www.staffsmoorlands.gov.uk/media/6161/Inspectors-final-report/pdf/Inspectors_final_report.pdf?m=1601645142637,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
staffordshire-moorlands-district-council-local-plan-2014-5,Annex to Inspector's report - schedule of main modifications,https://www.staffsmoorlands.gov.uk/media/6157/Annex-to-Inspectors-report---schedule-of-main-modifications/pdf/Annex_to_Inspectors_report_-_schedule_of_main_modifications.pdf?m=1601645141410,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
staffordshire-moorlands-district-council-local-plan-2014-6,Appendix 2 SA report Biddulph options June 2019,https://www.staffsmoorlands.gov.uk/media/6158/Appendix-2-SA-report-Biddulph-options-June-2019/pdf/Appendix_2_SA_report_Biddulph_options_June_2019.pdf?m=1601645141647,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
staffordshire-moorlands-district-council-local-plan-2014-7,Equalities Impact Assessment,https://www.staffsmoorlands.gov.uk/media/6159/Equalities-Impact-Assessment/pdf/Equalities_Impact_Assessment.pdf?m=1601645142040,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
staffordshire-moorlands-district-council-local-plan-2014-8,Further Additional Modifications September 2020,https://www.staffsmoorlands.gov.uk/media/6160/Further-AMs/pdf/Further_AMs.pdf?m=1601645142390,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
staffordshire-moorlands-district-council-local-plan-2014-9,Revised additional modifications,https://www.staffsmoorlands.gov.uk/media/6162/Revised-additional-modifications/pdf/Revised_additional_modifications.pdf?m=1601645142887,"ConnectionError: HTTPSConnectionPool(host='www.staffsmoorlands.gov.uk', port=443): Max retries exceeded with url: /me",,,staffordshire-moorlands-district-council-local-plan-2014
adopted-derbyshire-dales-local-plan-2013-2033,Adopted Derbyshire Dales Local Plan 2013 - 2033,https://www.derbyshiredales.gov.uk/documents/dddc-adopted-local-plan-2017-2/download,HTTPError: 403 Client Error: Forbidden for url: https://www.derbyshiredales.gov.uk/documents/dddc-adopted-local,,,derbyshire-dales-local-plan
adoption-statement-local-plan-update-2023-pdf-0-1mb,"Adoption Statement: Local Plan update 2023 (PDF, 0.1MB)",https://eastcambs.gov.uk:443/sites/default/files/Adoption%20statement%20Local%20Plan%202023%20Update%20-%20final.pdf,HTTPError: 404 Client Error: Not Found for url: https://eastcambs.gov.uk:443/sites/default/files/Adoption%20sta,,,east-cambridgeshire-local-plan-single-issue-review
basingstoke-and-deane-borough-council-local-plan-2011-1,Adopted Local Plan (2011 to 2029),https://www.basingstoke.gov.uk/planningpolicy,"SSLError: HTTPSConnectionPool(host='www.basingstoke.gov.uk', port=443): Max retries exceeded with url: /planni",,,basingstoke-and-deane-borough-council-local-plan-2011
basingstoke-and-deane-borough-council-local-plan-2011-4,Adoption Statement,https://www.basingstoke.gov.uk/planningpolicy,"SSLError: HTTPSConnectionPool(host='www.basingstoke.gov.uk', port=443): Max retries exceeded with url: /planni",,,basingstoke-and-deane-borough-council-local-plan-2011
basingstoke-and-deane-borough-council-local-plan-2011-5,SEA Adoption Statement,https://www.basingstoke.gov.uk/planningpolicy,"SSLError: HTTPSConnectionPool(host='www.basingstoke.gov.uk', port=443): Max retries exceeded with url: /planni",,,basingstoke-and-deane-borough-council-local-plan-2011
bassetlaw-district-council-local-plan-2020-1,Bassetlaw Local Plan,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038/,"SSLError: HTTPSConnectionPool(host='www.bassetlaw.gov.uk', port=443): Max retries exceeded with url: /planning",,,bassetlaw-district-council-local-plan-2020
bassetlaw-district-council-local-plan-2020-2,Sustainability Appraisal Adoption Statement,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038/,"SSLError: HTTPSConnectionPool(host='www.bassetlaw.gov.uk', port=443): Max retries exceeded with url: /planning",,,bassetlaw-district-council-local-plan-2020
birmingham-plan-2031,Birmingham Plan 2031,https://www.birmingham.gov.uk/downloads/download/1139/adopted_birmingham_development_plan,HTTPError: 403 Client Error: Forbidden for url: https://www.birmingham.gov.uk/downloads/download/1139/adopted_b,,,the-birmingham-plan-bdp-update
core-strategy-and-development-plan-2015-2033,Core Strategy and Development Plan 2015 - 2033,https://www.sunderland.gov.uk/media/22171/Core-Strategy-and-Development-Plan-2015-2033/pdf/CSDP_2015-2033.pdf?m=1580375786447,HTTPError: 403 Client Error: Forbidden for url: https://www.sunderland.gov.uk/media/22171/Core-Strategy-and-Dev,,,sunderland-city-council-local-plan-2024
derbyshire-dales-local-plan-adoption-statement,Derbyshire Dales Local Plan Adoption Statement,https://www.derbyshiredales.gov.uk/documents/adoption-statement-final-dec-2017-2/download,HTTPError: 403 Client Error: Forbidden for url: https://www.derbyshiredales.gov.uk/documents/adoption-statement,,,derbyshire-dales-local-plan
east-cambridgeshire-district-council-local-plan-2013-13,"Adoption Statement: Local Plan 2015 (PDF, 0.)",https://eastcambs.gov.uk:443/sites/default/files/Adoption%20statement%20-%20final.pdf,HTTPError: 404 Client Error: Not Found for url: https://eastcambs.gov.uk:443/sites/default/files/Adoption%20sta,,,east-cambridgeshire-district-council-local-plan-2013
east-cambridgeshire-district-council-local-plan-2013-15,"Inspector's Report on the examination into the East Cambridgeshire Local Plan 2015 (PDF, 0.)",https://eastcambs.gov.uk:443/sites/default/files/Inspector%27s%20Report_0.pdf,HTTPError: 404 Client Error: Not Found for url: https://eastcambs.gov.uk:443/sites/default/files/Inspector%27s%,,,east-cambridgeshire-district-council-local-plan-2013
